CAS,Median PR,Class,GATS5c,ATS3m,ETA_Psi_1,ETA_Beta,GATS2v,ATSC5e,piPC7,ATSC3e,MLFER_A,AATSC5e,ATSC7c,MDEC-22,SIC2,ATSC8c,minHCsatu,AATS6v,SsssCH,SsssN,AATSC8m,nCl,MDEC-44,PubchemFP377,SubFP40,FMF,minHssNH,VE2_D,maxssCH2,khs.dssS,FP490,ATS8m,FP184,ExtFP763,ExtFP636,minHBint10,ExtFP738,GATS6v,SCH-6,AD2D395,FP350,minHBint3,khs.sNH2,ExtFP701
615-54-3,92.45108135942328,1,0.5799300727424272,12971.634763,1.07692,12.0,0.6634054277256489,0.1173624375,2.15103519486684,-0.2156446874999997,0.003,0.0391208125,0.0,1.6509636244473134,0.59298098188371,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.6666666666666666,0.0,0.0025842916595504,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0680413817439771,0,0,0.0,0,0
636-28-2,92.45108135942328,1,0.0,21250.507627,1.14679,13.0,0.6144811201521915,0.3143579999999997,2.78423933945976,-0.3143579999999998,0.003,0.1047859999999999,0.0,0.3333333333333333,0.5350950905814501,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.6,0.0,4.440892098500626e-17,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0555555555555555,0,0,0.0,0,0
78-30-8,83.03186907838071,1,2.435802817849684,8457.41326129199,0.60918,36.75,0.8735392506906594,-0.7117791688546806,5.82701360541717,-0.2315528773200512,0.003,-0.0069782271456341,-0.0026844885059675,13.068179445467196,0.5572456065569897,0.0483981903489607,0.0,200.95544396786988,0.0,0.0,-12.500167617156468,0,0.0,0,0,0.8461538461538461,0.0,2.8022456150394575e-17,0.0,0,0,6646.3443029999935,0,0,0,0.0,0,0.5854861154791431,0.25,0,0,0.0,0,0
78-40-0,36.17920540997464,0,1.2031647302067765,3196.314859722,0.50473,8.25,0.9115360196182304,-4.472937394970397,0.0,-0.8079367411242584,0.003,-0.0993986087771199,0.0333435514196191,0.75,0.5229271006057488,0.0173546151767314,0.0,113.01453621188236,0.0,0.0,35.975894190545404,0,0.0,0,0,0.0,0.0,2.897776715552167e-18,0.3855024005486969,0,0,27.433728,0,0,0,0.0,0,1.5293778120867767,0.0,0,0,0.0,0,0
78-42-2,90.21612450815532,1,2.107601400674058,7927.25025172202,0.6187,17.25,1.2391437002915948,-0.4856209710938531,3.68887945411394,0.9447383160937536,0.003,-0.0021583154270837,-0.2567295059635377,18.77686179985849,0.4856070882085338,0.1701657920021031,0.0,134.0580974738352,1.3414869018467497,0.0,-4.391108632183823,0,0.0,0,0,0.0,0.0,1.148506577198438e-17,1.192026560288391,0,0,7797.570267864021,0,1,0,0.0,0,1.061432819908941,0.0,1,0,0.0,0,0
78-51-3,69.06854137984803,1,1.1147670028334336,6492.98558272202,0.52782,17.25,1.1562407182839434,3.756893567573894,3.43398720448515,1.44318010863904,0.003,0.0272238664316948,-0.4166815994429959,17.712985460186182,0.5283055773270138,0.2394982450483436,0.0,141.0976316972735,0.0,0.0,-7.9610137275016095,0,0.0,0,0,0.0,0.0,0.0,1.0787824389014866,0,0,6481.960954722019,0,0,0,0.0,0,1.2201872281715396,0.0,1,1,0.0,0,0
791-28-6,44.64285714285714,0,1.5394708395354797,6977.420327868,0.70938,30.75,1.007792759835587,-0.4677229542857142,6.30581897847558,0.3681065216326526,0.003,-0.0055681304081632,-0.0069047152997162,26.958891049178693,0.4017690966119497,0.0035121072285413,0.0,182.5723521617149,0.0,0.0,10.390452995815098,0,0.0,0,0,0.95,0.0,1.1102230246251566e-17,0.0,0,0,747.7480110000001,0,0,0,0.0,0,1.161379875711965,0.3061862178478973,0,0,0.0,0,0
80-05-7,87.3941798941799,1,0.293495193528244,4519.536538,0.60794,22.5,0.9048741883018836,0.4981767933884262,5.53782627194851,-0.455816859504131,1.089,0.0052997531211534,-0.1036603856079662,8.691901917570458,0.6064651868729705,0.0184425582913852,0.0,132.1799383559887,0.0,0.0,9.524362049586786,0,0.0,0,0,0.7647058823529411,0.0,2.7590754526232578e-17,0.0,0,0,1090.5417729999983,1,0,0,5.472983302379479,0,0.8841144146862326,0.1666666666666666,0,0,0.0,0,0
85-22-3,93.51923076923076,1,0.7961766005364744,38156.015039,1.13074,15.0,0.4600057793324523,-0.5594076481481479,4.27492849911751,0.7408964444444438,0.003,-0.0233086520061728,-0.0088858900899505,0.0,0.6653361675159981,0.0,0.0,172.74589559569097,0.0,0.0,0.0,0,0.0,0,0,0.4615384615384615,0.0,0.0059419129906332,1.3700977366255145,0,0,0.0,0,0,0,0.0,0,2.5162930286027434,0.037037037037037,0,0,0.0,0,0
87-82-1,92.54424779,1,0.0,50257.410987,1.24999,15.0,1.2222222222222223,0.1677967499999992,3.84079549613978,-0.1677967500000005,0.003,0.0559322499999997,0.0,0.0,0.2789429456511298,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.5,0.0,1.8503717077085938e-17,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.037037037037037,0,0,0.0,0,0
87-83-2,92.45108135942328,1,0.6383830026476466,37849.283325,1.16412,14.5,0.3586831803526812,-0.2807022533333334,3.84079549613978,0.2465512133333327,0.003,-0.0233918544444444,0.0,0.0,0.6054933386198771,0.0,0.0,147.8667267712162,0.0,0.0,0.0,0,0.0,0,0,0.5,0.0,1.8503717077085938e-17,0.0,0,0,0.0,0,0,0,0.0,0,3.672368026199043,0.037037037037037,0,0,0.0,0,0
91-20-3,98.58333333333334,1,1.165044036751091,1979.407596,0.71429,15.5,1.0199999999999998,-0.0023423209876553,5.61449578382944,-0.0169818271604935,0.003,-0.0001064691358025,0.0018815736227073,11.678631656953222,0.4404375780076933,0.0,0.0,64.54489320676558,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,5.2735593669694933e-17,0.0,0,0,0.0,0,0,0,0.0,0,0.7650000000000001,0.1666666666666666,0,0,0.0,0,0
94-13-3,96.84136182681442,1,1.378523632694573,2853.896167,0.52631,15.5,1.0347656703161947,-0.8839291903999955,4.31331274212583,-0.3415222400000001,0.546,-0.0285138448516127,-0.1325574624746255,5.03405078222385,0.821227129747355,-0.0162356613233612,0.0,158.55092647345936,0.0,0.0,0.5252920224000164,0,0.0,0,0,0.4615384615384615,0.0,0.0104322377841156,0.8093487811791384,0,0,512.020702,1,0,0,0.0,0,1.2405883018010668,0.0833333333333333,0,1,0.0,0,0
94-26-8,58.593970132431664,1,1.4722581288330798,3050.652896,0.53719,16.0,1.0826609965958478,-1.119360163265306,4.35269436927093,-0.1923100408163263,0.546,-0.0279840040816326,-0.1420339371955312,6.525200882609978,0.8012354585841857,-0.0229467709575788,0.0,170.6131454589243,0.0,0.0,-6.917809020901896,0,0.0,0,0,0.4285714285714285,0.0,0.0126938057584646,1.0028351494918957,0,0,871.1593439999997,1,0,0,0.0,0,1.239429431521672,0.0833333333333333,0,1,0.0,0,0
99-76-3,98.3134396627349,1,1.1162237411140912,2426.625081,0.5,14.5,0.8258631582978588,-0.5739627479224383,4.15005516923611,-0.4226707146814403,0.546,-0.0260892158146562,-0.1134737980785096,3.3019272488946267,0.7924079020808124,-0.052090027123858,0.0,115.30169275546076,0.0,0.0,-48.95800092243768,0,0.0,0,0,0.5454545454545454,0.0,0.0030582486197038,0.0,0,0,60.488064,1,0,0,0.0,0,1.116647927758606,0.0833333333333333,0,0,0.0,0,0
